system_id,system,subsystem,nv_role,tradeoff,related_phenomenon
SYS01,タイヤ,トレッド/空洞/剛性,路面入力の源流,操安/転がり抵抗/摩耗/コスト,NV01/NV02/NV03
SYS02,サスペンション,ブッシュ/リンク/ダンパー,入力伝達経路のフィルタリング,操安/乗心地/重量,NV01/NV02/NV03
SYS03,サブフレーム,締結/剛性/マウント,振動伝達経路の分離,重量/剛性/コスト,NV02/NV03
SYS04,ボディ,入力点/フロア/パネル/剛性,車室内応答・パネル振動,重量/剛性/衝突性能/コスト,NV01/NV02/NV08
SYS05,遮音吸音材,フロア/ホイールハウス/ダッシュ/天井,空気伝搬・構造伝搬の低減,重量/コスト/スペース,NV01/NV04
SYS06,空力外装,ミラー/ピラー/ドアシール/ガラス,風切り音の源流,空力/視界/デザイン/コスト,NV04
SYS07,電動パワートレーン,モーター/インバーター/ギヤ/マウント,電磁音・機械音の源流と伝達,出力/重量/コスト,NV05/NV06
SYS08,能動制御システム,ANC/ASD/AVAS,能動的な音圧・音質制御,違和感/制御ロバスト性/コスト,NV01/NV02/NV05
SYS09,ドライブシャフト,等速ジョイント/シャフト,回転振動の伝達,耐久性/操安/コスト,NV06/NV10
SYS10,ブレーキ,パッド/ディスク/キャリパー,制動時の摩擦振動,制動性能/フィーリング/耐久性,NV09
SYS11,内外装トリム,ダッシュボード/ドアトリム/天井/シート,異音・びびりの発生箇所,デザイン/品質感/コスト,NV07/NV08
SYS12,排気系,マフラー/パイプ/マウント,排気音・構造伝搬,燃費/出力/音質,NV10
