result_id,test_id,measurement_item,measurement_value,unit,target_value,gap,gap_direction,status,note
RSLT01,TP01,前席ロードノイズ 粗粒路80km/h,64.5,dB(A),63.0以下,-1.5,超過,NG,基準車比-0.5dBに留まり目標-2dBに届かず
RSLT02,TP01,後席ロードノイズ 粗粒路80km/h,63.2,dB(A),61.0以下,-2.2,超過,NG,前後差3.3dBあり後席で特に悪い
RSLT03,TP02,後席低周波こもり 荒れ路40km/h（45Hz付近），56.0,dB(A),52.0以下,-4.0,超過,NG,目標比+4dBと最も大きく外れており圧迫感あり
RSLT04,TP03,ハーシュネス官能スコア（段差通過），3.4,スコア(5段階),4.0以上,-0.6,未達,NG,突き上げ感が残る・現行車と同等で改善なし
RSLT05,TP04,前席風切り音 120km/h,64.2,dB(A),65.0以下,+0.8,余裕,OK,目標達成。ただしロードノイズ未達のため相対評価は注意
RSLT06,TP05,前席モーター音 60km/h加速,44.1,dB(A),45.0以下,+0.9,余裕,OK,dB値は目標内
RSLT07,TP05,モーター音シャープネス,2.1,acum,管理値TBD,-,管理値未設定,確認中,管理値が未設定のため官能評価で確認要
RSLT08,TP06,ギヤ音官能（浮き感評価），気になる:25%,官能率,気になる0%,-25%,超過,NG,3次成分が浮いている旨のコメントあり
RSLT09,TP08,タイヤ新旧比較 前席ロードノイズ差分,+2.1,dB（新-旧）,-,-,悪化,参考,新タイヤで2.1dB悪化。タイヤが主因の可能性
RSLT10,TP09,ブッシュ新旧比較 後席ロードノイズ差分,+0.8,dB（新-旧）,-,-,悪化,参考,ブッシュ高剛性化で後席が0.8dB悪化
RSLT11,TP09,ブッシュ新旧比較 低周波こもり差分,+1.5,dB（新-旧）,-,-,悪化,参考,ブッシュ高剛性化で低周波こもりが1.5dB悪化
RSLT12,TP10,遮音材有無比較 前席ロードノイズ差分,+0.8,dB（有-無）,-,-,軽量化で悪化,参考,遮音材軽量化で0.8dB悪化
RSLT13,TP07,異音（きしみ）官能確認,確認なし,官能,確認なし,-,クリア,OK,今回評価時点では問題なし。温度変化後の確認が残っている
